Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Season,Rk_against,Comp_against,# Pl_against,Age_against,Poss_against,MP_against,Starts_against,Min_against,90s_against,Gls_against,Ast_against,G+A_against,G-PK_against,PK_against,PKatt_against,CrdY_against,CrdR_against,xG_against,npxG_against,xAG_against,npxG+xAG_against,PrgC_against,PrgP_against,Gls.1_against,Ast.1_against,G+A.1_against,G-PK.1_against,G+A-PK_against,xG.1_against,xAG.1_against,xG+xAG_against,npxG.1_against,npxG+xAG.1_against,Season_against,Squad_Season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Sh_against,SoT_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_against,G/SoT_against,Dist_against,FK_against,npxG/Sh_against,G-xG_against,np:G-xG_against,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Cmp_against,Att_against,Cmp%_against,TotDist_against,PrgDist_against,Cmp.1_against,Att.1_against,Cmp%.1_against,Cmp.2_against,Att.2_against,Cmp%.2_against,Cmp.3_against,Att.3_against,Cmp%.3_against,xA_against,A-xAG_against,KP_against,1/3_against,PPA_against,CrsPA_against,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Live_against,Dead_against,TB_against,Sw_against,Crs_against,TI_against,CK_against,In_against,Out_against,Str_against,Off_against,Blocks_against,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,SCA_against,SCA90_against,PassLive_against,PassDead_against,TO_against,Fld_against,Def_against,GCA_against,GCA90_against,PassLive.1_against,PassDead.1_against,TO.1_against,Sh.1_against,Fld.1_against,Def.1_against,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Tkl_against,TklW_against,Def 3rd_against,Mid 3rd_against,Att 3rd_against,Tkl.1_against,Tkl%_against,Lost_against,Pass_against,Int_against,Tkl+Int_against,Clr_against,Err_against,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Touches_against,Def Pen_against,Att Pen_against,Succ_against,Succ%_against,Tkld_against,Tkld%_against,Carries_against,CPA_against,Mis_against,Dis_against,Rec_against,PrgR_against,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Mn/MP_against,Min%_against,Mn/Start_against,Compl_against,Subs_against,Mn/Sub_against,unSub_against,PPM_against,onG_against,onGA_against,+/-_against,+/-90_against,onxG_against,onxGA_against,xG+/-_against,xG+/-90_against,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,2CrdY_against,Fls_against,PKwon_against,PKcon_against,OG_against,Recov_against,Won_against,Won%_against
26,Dortmund,de Bundesliga,16,28.0,66.0,1,11,90,1.0,1,1,2,1,0,0,1,0,1.8,1.8,1.7,3.5,16,68,1.0,1.0,2.0,1.0,2.0,1.75,1.7,3.45,1.75,3.45,2024,26,de Bundesliga,16,26.5,34.0,1,11,90,1.0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,2.5,27,34,0.0,0.0,0.0,0.0,0.0,1.24,1.24,2.49,1.24,2.49,2024,Dortmund_2024,13,2,15.4,13.0,2.0,0.08,0.5,12.5,0,0.16,-0.8,-0.8,11,4,36.4,11.0,4.0,0.0,0.0,16.5,0,0.11,-1.2,-1.2,649,746,87.0,11871,3663,262,288,91.0,307,338,90.8,65,81,80.2,0.9,-0.7,11,48,4,1,288,390,73.8,4869,2034,122,150,81.3,126,158,79.7,25,50,50.0,2.0,-1.2,11,24,10,2,698,47,1,5,18,20,6,1,5,0,1,14,338,50,2,2,20,24,3,1,2,0,2,10,20,20.0,7,6,1,1,0,1,1.0,0,0,0,1,0,0,21,21.0,19,1,0,1,0,0,0.0,0,0,0,0,0,0,11,8,4,6,1,5,41.7,7,8,10,21,16,0,20,14,14,4,2,13,52.0,12,13,12,32,23,0,862,65,22,12,48.0,13,52.0,628,6,22,7,645,68,510,63,29,7,53.8,5,38.5,258,6,12,6,285,34,90,100,81,6,5,20,4,3.0,1,0,1,1.0,1.8,1.2,0.5,0.51,90,100,81,6,5,20,5,0.0,0,1,-1,-1.0,1.2,1.8,-0.5,-0.51,0,13,0,0,0,58,15,51.7,0,11,0,0,0,48,14,48.3
27,Eint Frankfurt,de Bundesliga,16,27.0,61.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.5,1.5,1.4,2.9,17,50,1.0,1.0,2.0,1.0,2.0,1.51,1.4,2.9,1.51,2.9,2024,27,de Bundesliga,16,26.6,39.0,1,11,90,1.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,11,23,0.0,0.0,0.0,0.0,0.0,0.53,0.35,0.88,0.53,0.88,2024,Eint Frankfurt_2024,9,3,33.3,9.0,3.0,0.11,0.33,14.0,0,0.17,-0.5,-0.5,10,2,20.0,10.0,2.0,0.0,0.0,19.0,0,0.06,-0.5,-0.5,534,621,86.0,9822,3388,199,220,90.5,286,311,92.0,45,72,62.5,1.4,-0.4,7,45,7,0,301,393,76.6,6596,2699,97,111,87.4,141,163,86.5,62,100,62.0,0.5,-0.4,8,30,7,1,562,59,3,1,12,28,7,0,4,0,0,5,353,38,0,4,14,14,3,0,3,0,2,8,15,15.0,10,4,1,0,0,2,2.0,2,0,0,0,0,0,16,16.0,12,1,1,0,0,0,0.0,0,0,0,0,0,0,13,9,6,5,2,6,46.2,7,6,3,16,11,0,26,19,19,5,2,14,66.7,7,5,13,39,14,1,715,47,19,7,31.8,14,63.6,450,4,12,12,530,49,497,63,17,7,53.8,6,46.2,281,3,12,7,297,23,90,100,78,6,5,26,4,3.0,1,0,1,1.0,1.5,0.5,1.0,0.98,90,100,78,6,5,26,4,0.0,0,1,-1,-1.0,0.5,1.5,-1.0,-0.98,0,9,0,0,0,46,12,46.2,0,14,0,0,0,45,14,53.8
28,Empoli,it Serie A,16,26.0,48.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.1,9,15,0.0,0.0,0.0,0.0,0.0,0.7,0.43,1.13,0.7,1.13,2024,28,it Serie A,16,25.2,52.0,1,11,90,1.0,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,16,21,1.0,0.0,1.0,1.0,1.0,0.51,0.43,0.94,0.51,0.94,2024,Empoli_2024,10,4,40.0,10.0,4.0,0.0,0.0,22.8,2,0.07,-0.7,-0.7,10,4,40.0,10.0,4.0,0.1,0.25,18.2,0,0.05,0.5,0.5,234,367,63.8,4446,1722,93,120,77.5,110,142,77.5,27,80,33.8,0.2,-0.4,5,8,3,0,272,396,68.7,5858,2469,100,133,75.2,107,137,78.1,62,105,59.0,0.7,-0.4,8,15,4,2,298,67,2,1,5,37,2,2,0,0,2,12,337,56,1,7,14,24,4,3,0,0,3,11,17,17.0,12,1,1,2,0,0,0.0,0,0,0,0,0,0,17,17.0,10,3,2,1,0,0,0.0,0,0,0,0,0,0,12,6,6,5,1,7,63.6,4,9,5,17,13,1,20,12,14,6,0,13,76.5,4,11,11,31,21,0,457,50,13,4,19.0,13,61.9,206,3,6,7,227,15,506,57,16,4,28.6,7,50.0,279,3,15,5,267,21,90,100,84,6,5,13,7,0.0,0,1,-1,-1.0,0.7,0.5,0.2,0.19,90,100,84,6,5,13,6,3.0,1,0,1,1.0,0.5,0.7,-0.2,-0.19,0,17,0,0,0,49,11,27.5,0,18,0,0,0,59,29,72.5
29,Everton,eng Premier League,15,28.2,41.0,2,22,180,2.0,0,0,0,0,0,0,4,0,3.3,3.3,2.9,6.2,30,53,0.0,0.0,0.0,0.0,0.0,1.67,1.46,3.12,1.67,3.12,2024,29,eng Premier League,15,28.2,59.0,2,22,180,2.0,5,1,6,4,1,1,5,0,4.4,3.7,2.1,5.8,38,77,2.5,0.5,3.0,2.0,2.5,2.2,1.07,3.27,1.85,2.92,2024,Everton_2024,28,11,39.3,14.0,5.5,0.0,0.0,15.4,0,0.12,-3.3,-3.3,21,8,38.1,10.5,4.0,0.19,0.5,16.2,0,0.18,0.6,0.3,627,825,76.0,11632,4154,258,289,89.3,269,310,86.8,79,170,46.5,1.5,-2.9,21,53,12,2,1025,1199,85.5,17269,5851,458,511,89.6,469,509,92.1,72,121,59.5,2.0,-1.1,17,54,22,5,720,98,2,8,44,42,16,7,8,0,7,18,1100,95,2,8,23,37,11,1,2,0,4,19,50,25.0,32,7,2,2,1,0,0.0,0,0,0,0,0,0,39,19.5,31,2,4,1,0,7,3.5,4,0,1,1,1,0,27,16,13,7,7,14,42.4,19,18,19,46,26,2,19,9,11,6,2,9,36.0,16,13,7,26,49,0,1010,94,43,16,59.3,9,33.3,578,8,29,10,619,52,1389,169,37,19,48.7,14,35.9,1009,4,26,13,1018,77,90,100,82,16,6,28,12,0.0,0,5,-5,-2.5,3.3,4.4,-1.1,-0.54,90,100,82,16,6,28,10,3.0,5,0,5,2.5,4.4,3.3,1.1,0.54,0,24,0,1,0,102,17,42.5,0,14,1,0,0,91,23,57.5
30,Fiorentina,it Serie A,16,27.1,68.0,1,11,90,1.0,4,3,7,4,0,0,3,0,1.0,1.0,0.4,1.4,23,44,4.0,3.0,7.0,4.0,7.0,0.99,0.38,1.37,0.99,1.37,2024,30,it Serie A,16,26.4,32.0,1,11,90,1.0,1,1,2,1,0,0,2,0,0.2,0.2,0.2,0.4,5,27,1.0,1.0,2.0,1.0,2.0,0.21,0.21,0.41,0.21,0.41,2024,Fiorentina_2024,9,5,55.6,9.0,5.0,0.44,0.8,18.6,0,0.11,3.0,3.0,4,2,50.0,4.0,2.0,0.25,0.5,11.0,0,0.05,0.8,0.8,599,694,86.3,11368,3496,246,261,94.3,253,281,90.0,90,118,76.3,0.8,2.6,6,37,5,0,242,332,72.9,4770,1967,85,105,81.0,113,137,82.5,38,65,58.5,0.6,0.8,4,17,6,2,645,48,2,5,12,22,4,1,2,0,1,14,284,46,0,1,16,20,3,0,3,0,2,11,15,15.0,9,1,3,0,0,7,7.0,2,1,2,2,0,0,7,7.0,4,1,2,0,0,2,2.0,1,0,1,0,0,0,11,8,4,5,2,5,35.7,9,9,7,18,16,0,14,9,5,8,1,6,37.5,10,12,9,23,15,1,794,69,24,10,55.6,6,33.3,525,8,13,8,593,43,420,60,9,9,60.0,5,33.3,197,0,8,6,241,27,90,100,86,6,5,10,9,3.0,4,1,3,3.0,1.0,0.2,0.8,0.78,90,100,86,6,5,10,6,0.0,1,4,-3,-3.0,0.2,1.0,-0.8,-0.78,0,13,0,0,0,51,12,54.5,0,14,0,0,0,37,10,45.5
31,Freiburg,de Bundesliga,16,27.5,50.0,1,11,90,1.0,1,0,1,1,0,0,1,0,2.6,2.6,1.8,4.4,23,31,1.0,0.0,1.0,1.0,1.0,2.65,1.79,4.44,2.65,4.44,2024,31,de Bundesliga,16,28.8,50.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.4,1.4,1.0,2.4,27,55,1.0,0.0,1.0,1.0,1.0,1.38,1.04,2.43,1.38,2.43,2024,Freiburg_2024,18,7,38.9,18.0,7.0,0.06,0.14,14.8,0,0.15,-1.6,-1.6,22,4,18.2,22.0,4.0,0.05,0.25,17.6,0,0.06,-0.4,-0.4,369,494,74.7,6684,2605,164,196,83.7,153,181,84.5,43,91,47.3,1.4,-1.8,15,24,11,4,385,502,76.7,7744,3332,134,163,82.2,201,232,86.6,49,86,57.0,1.7,-1.0,16,42,11,3,456,38,0,3,23,15,2,0,0,0,0,6,457,42,1,5,24,16,4,1,1,0,3,14,33,33.0,27,1,2,1,0,1,1.0,0,0,0,1,0,0,37,37.0,28,3,0,1,0,1,1.0,0,0,0,1,0,0,17,7,11,5,1,5,55.6,4,13,11,28,15,0,11,5,5,5,1,6,30.0,14,6,7,18,24,0,610,82,28,14,60.9,6,26.1,378,7,10,5,365,30,623,80,36,4,36.4,5,45.5,349,8,10,12,382,55,90,100,87,6,5,7,4,3.0,2,1,1,1.0,2.6,1.4,1.3,1.26,90,100,87,6,5,7,5,0.0,1,2,-1,-1.0,1.4,2.6,-1.3,-1.26,0,9,0,0,0,57,25,55.6,0,9,0,0,1,54,20,44.4
32,Frosinone,it Serie A,16,25.3,48.0,1,11,90,1.0,1,0,1,0,1,1,3,0,0.9,0.1,0.1,0.2,12,30,1.0,0.0,1.0,0.0,0.0,0.89,0.07,0.97,0.1,0.18,2024,32,it Serie A,16,27.9,52.0,1,11,90,1.0,3,2,5,3,0,0,3,0,1.5,1.5,1.2,2.7,21,46,3.0,2.0,5.0,3.0,5.0,1.49,1.22,2.7,1.49,2.7,2024,Frosinone_2024,3,0,0.0,3.0,0.0,0.0,,25.4,1,0.03,0.1,-0.1,19,8,42.1,19.0,8.0,0.16,0.38,18.4,0,0.08,1.5,1.5,413,476,86.8,6059,2393,242,252,96.0,126,141,89.4,28,52,53.8,0.2,-0.1,2,17,5,1,436,506,86.2,7511,2556,205,213,96.2,180,201,89.6,40,64,62.5,0.9,0.8,16,34,9,0,425,48,0,1,7,15,4,1,2,0,3,8,465,38,2,2,18,11,6,2,3,0,3,13,8,8.0,5,1,0,2,0,2,2.0,0,1,0,0,1,0,36,36.0,29,2,1,0,2,5,5.0,4,0,0,1,0,0,6,6,3,3,0,3,37.5,5,12,2,8,19,0,20,11,10,6,4,12,70.6,5,5,3,23,9,0,575,99,13,5,25.0,12,60.0,293,3,18,8,410,30,591,29,31,5,55.6,3,33.3,352,7,14,3,429,45,90,100,82,6,5,17,8,0.0,1,3,-2,-2.0,0.9,1.5,-0.6,-0.59,90,100,82,6,5,17,8,3.0,3,1,2,2.0,1.5,0.9,0.6,0.59,0,14,1,0,0,34,4,30.8,0,17,0,1,0,54,9,69.2
33,Fulham,eng Premier League,18,29.2,56.5,2,22,180,2.0,1,0,1,1,0,0,6,1,2.0,2.0,0.9,2.9,29,69,0.5,0.0,0.5,0.5,0.5,0.98,0.46,1.44,0.98,1.44,2024,33,eng Premier League,18,27.2,43.5,2,22,180,2.0,3,1,4,2,1,1,2,0,6.4,5.8,4.6,10.4,25,59,1.5,0.5,2.0,1.0,1.5,3.19,2.32,5.51,2.9,5.22,2024,Fulham_2024,19,4,21.1,9.5,2.0,0.05,0.25,18.0,1,0.1,-1.0,-1.0,35,16,45.7,17.5,8.0,0.06,0.13,14.9,1,0.17,-3.4,-3.8,917,1113,82.4,15981,5252,396,440,90.0,422,473,89.2,77,142,54.2,1.0,-0.9,13,65,20,4,660,853,77.4,12423,4437,273,311,87.8,284,326,87.1,87,167,52.1,3.3,-3.6,23,56,15,2,1008,101,1,4,27,40,9,3,4,0,4,21,751,92,5,6,41,40,15,4,7,1,10,16,32,16.0,26,1,2,2,1,2,1.0,2,0,0,0,0,0,62,31.0,35,10,2,6,2,4,2.0,3,0,0,0,1,0,20,13,8,7,5,12,44.4,15,11,7,27,54,1,26,15,12,7,7,9,39.1,14,21,22,48,40,0,1289,166,37,14,58.3,9,37.5,882,5,19,17,906,69,1058,140,58,15,51.7,12,41.4,631,9,24,8,651,59,90,100,80,13,8,24,10,1.5,1,3,-2,-1.0,2.0,6.4,-4.4,-2.21,90,100,80,13,8,24,11,1.5,3,1,2,1.0,6.4,2.0,4.4,2.21,1,19,0,1,0,86,26,55.3,0,24,1,0,0,107,21,44.7
34,Genoa,it Serie A,14,26.4,32.0,1,11,90,1.0,1,1,2,1,0,0,2,0,0.2,0.2,0.2,0.4,5,27,1.0,1.0,2.0,1.0,2.0,0.21,0.21,0.41,0.21,0.41,2024,34,it Serie A,14,27.1,68.0,1,11,90,1.0,4,3,7,4,0,0,3,0,1.0,1.0,0.4,1.4,23,44,4.0,3.0,7.0,4.0,7.0,0.99,0.38,1.37,0.99,1.37,2024,Genoa_2024,4,2,50.0,4.0,2.0,0.25,0.5,11.0,0,0.05,0.8,0.8,9,5,55.6,9.0,5.0,0.44,0.8,18.6,0,0.11,3.0,3.0,242,332,72.9,4770,1967,85,105,81.0,113,137,82.5,38,65,58.5,0.6,0.8,4,17,6,2,599,694,86.3,11368,3496,246,261,94.3,253,281,90.0,90,118,76.3,0.8,2.6,6,37,5,0,284,46,0,1,16,20,3,0,3,0,2,11,645,48,2,5,12,22,4,1,2,0,1,14,7,7.0,4,1,2,0,0,2,2.0,1,0,1,0,0,0,15,15.0,9,1,3,0,0,7,7.0,2,1,2,2,0,0,14,9,5,8,1,6,37.5,10,12,9,23,15,1,11,8,4,5,2,5,35.7,9,9,7,18,16,0,420,60,9,9,60.0,5,33.3,197,0,8,6,241,27,794,69,24,10,55.6,6,33.3,525,8,13,8,593,43,90,100,81,8,3,32,6,0.0,1,4,-3,-3.0,0.2,1.0,-0.8,-0.78,90,100,81,8,3,32,9,3.0,4,1,3,3.0,1.0,0.2,0.8,0.78,0,14,0,0,0,37,10,45.5,0,13,0,0,0,51,12,54.5
35,Getafe,es La Liga,16,28.5,31.5,2,22,180,2.0,0,0,0,0,0,0,13,1,1.3,1.3,1.1,2.3,15,44,0.0,0.0,0.0,0.0,0.0,0.64,0.54,1.17,0.64,1.17,2024,35,es La Liga,16,26.9,68.5,2,22,180,2.0,3,2,5,3,0,0,4,1,2.9,2.9,2.4,5.2,47,84,1.5,1.0,2.5,1.5,2.5,1.43,1.18,2.6,1.43,2.6,2024,Getafe_2024,14,4,28.6,7.0,2.0,0.0,0.0,17.1,1,0.09,-1.3,-1.3,21,9,42.9,10.5,4.5,0.14,0.33,18.6,2,0.14,0.1,0.1,395,592,66.7,8256,3767,147,177,83.1,149,207,72.0,76,153,49.7,1.7,-1.1,10,46,15,5,1152,1325,86.9,19049,6344,548,591,92.7,501,552,90.8,71,129,55.0,2.5,-0.4,15,83,16,1,495,91,2,9,38,37,5,2,3,0,6,15,1221,99,6,10,28,28,7,5,1,0,5,5,26,13.0,22,4,0,0,0,0,0.0,0,0,0,0,0,0,41,20.5,34,1,2,3,0,6,3.0,6,0,0,0,0,0,32,17,15,8,9,16,53.3,14,5,19,51,37,1,25,17,16,9,0,15,75.0,5,13,7,32,44,0,784,102,29,5,21.7,15,65.2,348,2,28,10,391,43,1535,133,37,14,41.2,16,47.1,930,9,35,16,1137,83,90,100,80,14,7,27,9,0.5,0,3,-3,-1.5,1.3,2.9,-1.6,-0.79,90,100,80,14,7,27,12,2.0,3,0,3,1.5,2.9,1.3,1.6,0.79,1,40,0,0,0,91,29,43.3,0,22,0,0,0,102,38,56.7
36,Girona,es La Liga,17,26.9,57.5,2,22,180,2.0,4,3,7,4,0,0,7,0,2.2,2.2,1.8,4.1,22,54,2.0,1.5,3.5,2.0,3.5,1.11,0.92,2.03,1.11,2.03,2024,36,es La Liga,17,27.0,42.5,2,22,180,2.0,1,1,2,1,0,0,8,0,1.7,1.7,1.3,3.1,24,57,0.5,0.5,1.0,0.5,1.0,0.87,0.67,1.54,0.87,1.54,2024,Girona_2024,13,7,53.8,6.5,3.5,0.31,0.57,14.3,1,0.17,1.8,1.8,24,4,16.7,12.0,2.0,0.04,0.25,19.2,2,0.07,-0.7,-0.7,841,1016,82.8,15174,5195,341,371,91.9,412,458,90.0,67,142,47.2,2.6,1.2,10,49,12,1,540,736,73.4,10302,4100,213,247,86.2,236,301,78.4,73,140,52.1,1.3,-0.3,17,51,17,5,900,110,2,9,25,34,4,2,1,0,6,8,645,89,2,6,31,45,6,4,2,0,2,18,25,12.5,22,1,0,1,0,8,4.0,8,0,0,0,0,0,40,20.0,33,3,1,1,1,1,0.5,1,0,0,0,0,0,31,18,17,12,2,18,58.1,13,16,8,39,40,0,38,26,14,15,9,16,66.7,8,7,11,49,22,1,1227,175,31,8,26.7,16,53.3,663,7,39,22,831,54,923,89,34,13,33.3,18,46.2,520,5,33,13,535,57,90,100,84,12,10,14,12,2.0,4,1,3,1.5,2.2,1.7,0.5,0.24,90,100,84,12,10,14,11,0.5,1,4,-3,-1.5,1.7,2.2,-0.5,-0.24,0,20,0,0,0,99,33,50.0,0,42,0,0,0,97,33,50.0
37,Granada,es La Liga,18,27.5,51.0,2,22,180,2.0,1,1,2,1,0,0,3,1,2.1,2.1,1.6,3.7,36,54,0.5,0.5,1.0,0.5,1.0,1.07,0.79,1.85,1.07,1.85,2024,37,es La Liga,18,30.0,49.0,2,22,180,2.0,5,3,8,5,0,0,4,0,4.5,4.5,3.5,8.1,38,77,2.5,1.5,4.0,2.5,4.0,2.27,1.77,4.04,2.27,4.04,2024,Granada_2024,21,11,52.4,10.5,5.5,0.05,0.09,15.5,0,0.1,-1.1,-1.1,31,15,48.4,15.5,7.5,0.16,0.33,16.2,2,0.15,0.5,0.5,766,975,78.6,14539,5028,312,349,89.4,351,405,86.7,93,178,52.2,2.0,-0.6,16,41,13,3,720,922,78.1,12961,5421,339,389,87.1,265,323,82.0,93,148,62.8,2.9,-0.5,24,49,24,7,863,111,1,8,34,42,8,3,3,0,1,20,810,102,4,11,36,55,9,6,1,0,10,14,35,17.5,22,2,5,0,2,2,1.0,1,0,0,0,0,1,55,27.5,40,4,4,4,0,9,4.5,7,0,1,1,0,0,38,20,20,14,4,13,37.1,22,13,9,47,33,1,33,18,15,15,3,13,46.4,15,15,21,54,32,1,1180,143,31,15,50.0,13,43.3,728,5,29,20,759,54,1142,98,54,22,62.9,13,37.1,650,12,30,25,710,76,90,100,84,12,10,13,13,0.0,1,5,-4,-2.0,2.1,4.5,-2.4,-1.21,90,100,84,12,10,13,14,3.0,5,1,4,2.0,4.5,2.1,2.4,1.21,0,23,0,0,0,110,22,42.3,0,26,0,0,0,121,30,57.7
38,Heidenheim,de Bundesliga,16,26.9,52.0,1,11,90,1.0,0,0,0,0,0,0,0,0,1.2,1.2,1.0,2.2,17,41,0.0,0.0,0.0,0.0,0.0,1.17,1.02,2.19,1.17,2.19,2024,38,de Bundesliga,16,25.5,48.0,1,11,90,1.0,2,2,4,2,0,0,3,0,2.2,2.2,1.2,3.3,21,42,2.0,2.0,4.0,2.0,4.0,2.18,1.15,3.33,2.18,3.33,2024,Heidenheim_2024,14,1,7.1,14.0,1.0,0.0,0.0,16.3,0,0.08,-1.2,-1.2,18,8,44.4,18.0,8.0,0.11,0.25,15.5,0,0.12,-0.2,-0.2,420,542,77.5,8504,2976,134,172,77.9,210,229,91.7,67,103,65.0,1.4,-1.0,10,32,9,3,409,505,81.0,7381,2770,168,188,89.4,202,229,88.2,30,54,55.6,1.0,0.8,13,23,8,1,487,55,0,2,24,25,7,4,3,0,0,19,467,36,2,3,8,18,1,1,0,0,2,13,22,22.0,15,2,3,0,0,0,0.0,0,0,0,0,0,0,33,33.0,28,0,4,0,1,4,4.0,4,0,0,0,0,0,20,11,9,8,3,12,63.2,7,13,13,33,7,2,17,11,13,2,2,13,50.0,13,17,16,33,17,0,655,61,20,13,44.8,13,44.8,351,2,15,4,418,41,649,59,24,7,33.3,12,57.1,337,7,20,8,406,41,90,100,74,6,5,35,4,0.0,0,2,-2,-2.0,1.2,2.2,-1.0,-1.0,90,100,74,6,5,35,4,3.0,2,0,2,2.0,2.2,1.2,1.0,1.0,0,9,0,0,0,51,21,53.8,0,10,0,0,0,64,18,46.2
39,Hellas Verona,it Serie A,16,25.2,52.0,1,11,90,1.0,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,16,21,1.0,0.0,1.0,1.0,1.0,0.51,0.43,0.94,0.51,0.94,2024,39,it Serie A,16,26.0,48.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.1,9,15,0.0,0.0,0.0,0.0,0.0,0.7,0.43,1.13,0.7,1.13,2024,Hellas Verona_2024,10,4,40.0,10.0,4.0,0.1,0.25,18.2,0,0.05,0.5,0.5,10,4,40.0,10.0,4.0,0.0,0.0,22.8,2,0.07,-0.7,-0.7,272,396,68.7,5858,2469,100,133,75.2,107,137,78.1,62,105,59.0,0.7,-0.4,8,15,4,2,234,367,63.8,4446,1722,93,120,77.5,110,142,77.5,27,80,33.8,0.2,-0.4,5,8,3,0,337,56,1,7,14,24,4,3,0,0,3,11,298,67,2,1,5,37,2,2,0,0,2,12,17,17.0,10,3,2,1,0,0,0.0,0,0,0,0,0,0,17,17.0,12,1,1,2,0,0,0.0,0,0,0,0,0,0,20,12,14,6,0,13,76.5,4,11,11,31,21,0,12,6,6,5,1,7,63.6,4,9,5,17,13,1,506,57,16,4,28.6,7,50.0,279,3,15,5,267,21,457,50,13,4,19.0,13,61.9,206,3,6,7,227,15,90,100,84,6,5,14,6,3.0,1,0,1,1.0,0.5,0.7,-0.2,-0.19,90,100,84,6,5,14,7,0.0,0,1,-1,-1.0,0.7,0.5,0.2,0.19,0,18,0,0,0,59,29,72.5,0,17,0,0,0,49,11,27.5
40,Hoffenheim,de Bundesliga,15,28.8,50.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.4,1.4,1.0,2.4,27,55,1.0,0.0,1.0,1.0,1.0,1.38,1.04,2.43,1.38,2.43,2024,40,de Bundesliga,15,27.5,50.0,1,11,90,1.0,1,0,1,1,0,0,1,0,2.6,2.6,1.8,4.4,23,31,1.0,0.0,1.0,1.0,1.0,2.65,1.79,4.44,2.65,4.44,2024,Hoffenheim_2024,22,4,18.2,22.0,4.0,0.05,0.25,17.6,0,0.06,-0.4,-0.4,18,7,38.9,18.0,7.0,0.06,0.14,14.8,0,0.15,-1.6,-1.6,385,502,76.7,7744,3332,134,163,82.2,201,232,86.6,49,86,57.0,1.7,-1.0,16,42,11,3,369,494,74.7,6684,2605,164,196,83.7,153,181,84.5,43,91,47.3,1.4,-1.8,15,24,11,4,457,42,1,5,24,16,4,1,1,0,3,14,456,38,0,3,23,15,2,0,0,0,0,6,37,37.0,28,3,0,1,0,1,1.0,0,0,0,1,0,0,33,33.0,27,1,2,1,0,1,1.0,0,0,0,1,0,0,11,5,5,5,1,6,30.0,14,6,7,18,24,0,17,7,11,5,1,5,55.6,4,13,11,28,15,0,623,80,36,4,36.4,5,45.5,349,8,10,12,382,55,610,82,28,14,60.9,6,26.1,378,7,10,5,365,30,90,100,83,7,4,20,5,0.0,1,2,-1,-1.0,1.4,2.6,-1.3,-1.26,90,100,83,7,4,20,4,3.0,2,1,1,1.0,2.6,1.4,1.3,1.26,0,9,0,0,1,54,20,44.4,0,9,0,0,0,57,25,55.6
